ticker,allocation,port_weight
AVY,4.959942999999999,5.6840002986204536e-05
AWI,0.23217500000000002,2.6606813209994635e-06
AWK,24.33441,0.00027886770817074424
AWR,1.9441899999999999,2.2280047453317307e-05
AX,0.6334500000000001,7.259216465110844e-06
AXON,33.428246,0.0003830813383265857
AXP,1804.870028,0.020683467084446554
AXS,3.6976679999999993,4.237457167592308e-05
AXTA,0.32504500000000003,3.724953849399249e-06
AYI,0.37148000000000003,4.2570901135991414e-06
AZEK,0.27860999999999997,3.1928175851993555e-06
AZN,12.504825,0.00014330291504196022
AZO,15.973056,0.00018304818235588845
AZPN,10.711527,0.00012275206119643123
BA,123.553008,0.0014158939616190256
BAC,134.359664,0.001539736183054007
BAH,105.88456500000001,0.0012134169668467905
BALL,4.959942999999999,5.6840002986204536e-05
BAM,0.20168,2.3112144236854605e-06
